missed_label,true_labels,predicted_labels,specific_label_probability,comment_text
threat,"toxic, obscene, threat, insult, identity_hate","toxic, obscene, insult",0.005295246153053772,""" Christians What about all the idiot Christians who will come on this page and claim that this thing never existed and they'll just change the article to one big """"GOOOOOOOOOOOOOOD DIIIIIIIIIIID IIIIIIIIIIIIT""""? Fucking stupid Christians, they believe dinosaurs didn't exist and their whole ignorant faith should be wiped off the face of the earth."""
threat,"toxic, obscene, threat, insult","toxic, obscene",0.008764814834067082,"Honesty, where the fuck is the Adeputs Mechanicus page, I typed Machine God in search and some crap that has nothing to do with Warhammer 40,000 turned up, honesty what the fuck, whoever is killing Warhammer 40,000 on wikipedia needs to die in the fire and if you don't like what I said, then you can join them as well, deal with it.( )"
threat,"toxic, obscene, threat, insult","toxic, obscene",0.008882587246262109,Gross If some bitch ever came on me I would throw her gross ass out on the pavement
threat,"toxic, obscene, threat, insult","toxic, obscene, insult",0.009042941151850472,"Dear Snigbrook Your days are numbered, the stabbing knife is headed your way! Be prepared for HORRIBLE HORRIBLE THINGS!!! P.S you are a fucking aspie hahaha"
threat,"toxic, obscene, threat, insult, identity_hate","toxic, obscene",0.009596706275583407,WHY THE FUCK DO U EDIT MY CONTRIB. TO WIKI ABOUT THE IRANIAN ARMY? THEY MUST DIE U KNOW!! STUPID TERRORISTS...THEY'RE LIVING ON ISRAELI SOIL CALLED ASIA-AFRICA WHICH SHOULD BE FOR ISRAELIS ONLY AND MUSLIM FREE
insult,"toxic, obscene, insult",toxic,0.057050620918313234,image the animation is crap; get a new one
insult,"toxic, obscene, insult, identity_hate",toxic,0.07265127210373601,"WTF is with this place? nazi land? geezus what, everything has to be peer reviewed? Do your own god damn research, it's fact, this isn't speculation. DO NOT remove it again"
insult,"toxic, severe_toxic, obscene, insult, identity_hate",toxic,0.07444255910939328,big>I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERSI HATE Nl33ERS I HATE Nl33ERS I HATE Nl33ERS
insult,"toxic, obscene, insult",toxic,0.08159343155045667,"I no longer care, the fact that those asswipes would put my name alongside perverted porn is sick, and now they are saying i am conected to the criminal underworld, this is a deliberate attack and smear of my name, i`m fucking done with wikipedia were users can smear people they don`t like and then they get away with it"
insult,"toxic, obscene, insult","toxic, obscene",0.08836870634108364,Fair Use Fair use or fuck use. Who gives a flying fuckelwad?
identity_hate,"toxic, obscene, insult, identity_hate","toxic, obscene",0.007589707131507549,"Fuck You, you dont know about tyler waespi because it is a local thing i give my reasons for posting it. he lead the homoesexuals in the sector of the bay area."
identity_hate,"toxic, obscene, insult, identity_hate",toxic,0.011034992954054699,"WTF is with this place? nazi land? geezus what, everything has to be peer reviewed? Do your own god damn research, it's fact, this isn't speculation. DO NOT remove it again"
identity_hate,"toxic, obscene, insult, identity_hate","toxic, obscene",0.011743513609830876,"7 Hey you a meani head who change my fun fact about Patrick Henry WTF!!! Methinks you are homoesexual too, ahyyyyyyyeeeeee RUNNNN your momma would be ahamed, she told me last night ***DANG*** what now ho"
identity_hate,"toxic, severe_toxic, obscene, insult, identity_hate","toxic, obscene, insult",0.013084622326229606,"200.68.127.154 wrote (21:56 - 22:04, 22 February 2006): WHY YOU PROTECTED THAT PAGE????? FUCK YOU YOU ARE A FUCKING IDIOT YOU WROTE THAT STUPID COMMENT YOU KNOW NOTHING!!!!!!!!!!!! YOU CAN'T PROTECT THAT PAGE FOREVER THE U.S. AND ARGENTINA SUCKS http://en.wikipedia.org/w/index.php?title=User_talk:Vsmith&oldid;=40766456 VSMITH AND ONEEUROPEANHEART AND PABLOFLORES ARE ALL FUKCING IDIOTS!!!!!! http://en.wikipedia.org/w/index.php?title=Talk:Huemul_Project&oldid;=40766701 VSMITH AND ONEEUROPEANHEART AND PABLOFLORES ARE ALL FUKCING IDIOTS!!!!!! http://en.wikipedia.org/w/index.php?title=Talk:Comisi%C3%B3n_Nacional_de_Energ%C3%ADa_At%C3%B3mica&oldid;=40766655 VSMITH AND ONEEUROPEANHEART AND PABLOFLORES ARE ALL FUKCING IDIOTS!!!!!! http://en.wikipedia.org/w/index.php?title=Instituto_Balseiro&oldid;=40766799 etc."
identity_hate,"toxic, obscene, identity_hate",toxic,0.014966210085861499,""" IT'S MY TALK PAGE!!! HOW DARE YOU desacrate my Sancturay !!!!!! I DECLARE jihad !!!!!! I declare jihad on you ݣ۸ݗۻݓڰڜڬ wiki mod admin or bloodsucker or what ever you are. I am going to report you to the nearest מּigger (That's this → ☻ color numbnut NOT this → ☺ ONE!!!! which you are) because you have breached the Ompwn wiki TOS jihad. ALSO!!!!10101010 since you mentioned that you race or """"color"""" to be more precise is better then mine then I also suspect you (like a white """"☺"""" man would do to a """"☻"""") are a OMFMNLOL10101!!!0 ;0) RACIST MG !!!!!!!! ☺ IS NOT ☺>☻ !!!!!! LOGICAL !!!!!! IT CAN NOT=↑ or ∆∞ =☺ OMG EQUATIONS EVERY WHERE♦♥!!!! """"∫-10324 and 0 [x+4]-[x/5]≠☺≤☻+√∞ /0"""" (THAT IS THE EQUATION ONE MUST FIND OUT FIRST WHAT THE √∞ divided by 0!!) Dx/dy= (∞,234934723482)I FOUND IT (Hg) mercury is found in ☻ ∆Mols מּiggers are good at music ♪♫ unlike ☺ and suck at luck ♥◄♣♠♦↨ ☻ CAN NOT DO MATH VERY WELL!!! very true ☻= hating on ۞ ♣♫ ☻מּ☺☺ ۾ݟݣݗݜݭ۬ۻ۝۵ݡݣ۸ݗۻݓڰڜڬڵچو →↑←↔∂ ok ok that was just a joke text and all please stop being racist I can't help my self for being black. FORGIVE ME!"""
